grade,caster.id,stand.id,force,avg.width,temperature,entry.gauge,exit.gauge,roller.diameter
Grade01,S,F3,1654.918,54.8403,1713.897,0.4610778,0.3258173,616.476
Grade01,S,F4,1389.997,54.8403,1668.659,0.3258173,0.2605263,655.2275
Grade01,S,F5,933.5848,54.8403,1623.664,0.2605263,0.2076815,594.977
Grade01,S,F1,2657.389,54.8586,1836.408,1.106448,0.6863975,801.6938
Grade01,S,F2,2577.761,54.8586,1789.316,0.6863975,0.4102387,755.4302
Grade01,S,F3,1827.813,54.8586,1747.884,0.4102387,0.2770589,616.476
Grade01,S,F4,1488.709,54.8586,1703.873,0.2770589,0.2160584,655.2275
Grade01,S,F5,978.1168,54.8586,1658.968,0.2160584,0.1700141,594.977
Grade01,S,F1,2667.736,54.8888,1830.884,1.105068,0.6767027,801.6938
Grade01,S,F2,2567.631,54.8888,1783.517,0.6767027,0.4060798,755.4302
Grade01,S,F3,1782.058,54.8888,1741.549,0.4060798,0.2772128,616.476
Grade01,S,F4,1481.727,54.8888,1696.722,0.2772128,0.2173947,655.2275
Grade01,S,F5,1044.763,54.8888,1651.434,0.2173947,0.1701252,594.977
Grade01,S,F1,2864.375,54.9633,1804.126,1.118798,0.6711013,801.6938
Grade01,S,F2,2576.655,54.9633,1759.574,0.6711013,0.4116547,755.4302
Grade01,S,F3,1816.2,54.9633,1720.387,0.4116547,0.2811685,616.476
Grade01,S,F4,1464.157,54.9633,1677.577,0.2811685,0.2211838,655.2275
Grade01,S,F5,1082.993,54.9633,1634.183,0.2211838,0.1724604,594.977
Grade01,S,F1,2703.579,54.1455,1812.043,1.115234,0.6829039,801.6938
Grade01,S,F2,2499.421,54.1455,1768.01,0.6829039,0.4160475,755.4302
Grade01,S,F3,1755.142,54.1455,1728.401,0.4160475,0.2859477,616.476
Grade01,S,F4,1386.262,54.1455,1686.093,0.2859477,0.2253533,655.2275
Grade01,S,F5,968.4451,54.1455,1642.911,0.2253533,0.17722,594.977
Grade01,N,F1,3170.15,54.0491,1825.216,1.093233,0.5503485,801.6938
